MultiResUnet1_32_1.67
n_filts : 32
Training on swan
Training using GPU : NVIDIA RTX A6000
log dir: 

========= Epoch [1/1001] =========
session_32
Training with batch size : 12
   [Train] Epoch: [1][1/130]  Loss:0.667 (Avg 0.6666) Dice:0.3396 (Avg 0.3396) LR 1.00e-03   (AvgTime 1.2)   
   [Train] Epoch: [1][2/130]  Loss:0.679 (Avg 0.6729) Dice:0.2722 (Avg 0.3059) LR 1.00e-03   (AvgTime 0.9)   
   [Train] Epoch: [1][3/130]  Loss:0.570 (Avg 0.6388) Dice:0.4528 (Avg 0.3549) LR 1.00e-03   (AvgTime 0.8)   
   [Train] Epoch: [1][4/130]  Loss:0.534 (Avg 0.6125) Dice:0.4984 (Avg 0.3907) LR 1.00e-03   (AvgTime 0.7)   
   [Train] Epoch: [1][5/130]  Loss:0.573 (Avg 0.6046) Dice:0.4817 (Avg 0.4089) LR 1.00e-03   (AvgTime 0.7)   
   [Train] Epoch: [1][6/130]  Loss:0.510 (Avg 0.5888) Dice:0.5237 (Avg 0.4281) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][7/130]  Loss:0.470 (Avg 0.5719) Dice:0.5560 (Avg 0.4463) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][8/130]  Loss:0.483 (Avg 0.5609) Dice:0.6192 (Avg 0.4680) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][9/130]  Loss:0.487 (Avg 0.5527) Dice:0.6380 (Avg 0.4868) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][10/130]  Loss:0.488 (Avg 0.5462) Dice:0.5536 (Avg 0.4935) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][11/130]  Loss:0.533 (Avg 0.5450) Dice:0.4858 (Avg 0.4928) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][12/130]  Loss:0.517 (Avg 0.5427) Dice:0.5150 (Avg 0.4947) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][13/130]  Loss:0.461 (Avg 0.5364) Dice:0.5819 (Avg 0.5014) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][14/130]  Loss:0.432 (Avg 0.5290) Dice:0.6296 (Avg 0.5105) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][15/130]  Loss:0.494 (Avg 0.5267) Dice:0.5174 (Avg 0.5110) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][16/130]  Loss:0.487 (Avg 0.5241) Dice:0.4874 (Avg 0.5095) LR 1.00e-03   (AvgTime 0.6)   
   [Train] Epoch: [1][17/130]  Loss:0.499 (Avg 0.5227) Dice:0.6062 (Avg 0.5152) LR 1.00e-03   (AvgTime 0.5)   
